"Howe town, Texas",3086
"Bishop city, Texas",3085
"Double Oak town, Texas",3079
"San Saba city, Texas",3075
"Combes town, Texas",3067
"Needville city, Texas",3065
"Henrietta city, Texas",3054
"Castroville city, Texas",3028
"Edgecliff Village town, Texas",3021
"Wimberley city, Texas",3019
"Chandler city, Texas",3014
"Hamilton city, Texas",3004
"McLendon-Chisholm city, Texas",2983
"Early city, Texas",2980
"Nocona city, Texas",2974
"West city, Texas",2966
"Stamford city, Texas",2957
"Stanton city, Texas",2947
"Taft city, Texas",2936
"Lytle city, Texas",2927
"Fairfield city, Texas",2917
"DeCordova city, Texas",2911
"Springtown city, Texas",2911
"Reno city (Parker and Tarrant Counties), Texas",2907
"Schulenburg city, Texas",2907
"Shady Shores town, Texas",2890
"Shenandoah city, Texas",2885
"Canadian city, Texas",2836
"Refugio town, Texas",2834
"South Padre Island town, Texas",2830
"Seagraves city, Texas",2814
"Santa Rosa town, Texas",2807
"Bartlett city, Texas",2776
"Northlake town, Texas",2776
"Rio Hondo city, Texas",2776
"Sonora city, Texas",2766
"Trinity city, Texas",2762
"Onalaska city, Texas",2755
"Abernathy city, Texas",2753
"Floydada city, Texas",2753
"Hooks city, Texas",2743
"Mount Vernon town, Texas",2741
"El Lago city, Texas",2740
"La Villa city, Texas",2740
"Palmhurst city, Texas",2738
"Van city, Texas",2728
"Westworth Village city, Texas",2726
"Electra city, Texas",2710
"Freer city, Texas",2684
"Beach City city, Texas",2677
"Hedwig Village city, Texas",2668
"Glen Rose city, Texas",2627
"Tahoka city, Texas",2624
"Ferris city, Texas",2622
"Seymour city, Texas",2620
"Hallettsville city, Texas",2616
"Merkel town, Texas",2600
"George West city, Texas",2581
"Premont city, Texas",2572
"Escobares city, Texas",2562
"Lyford city, Texas",2555
"The Hills village, Texas",2544
"Pantego town, Texas",2543
"Shallowater city, Texas",2535
"Quanah city, Texas",2529
"Woodville town, Texas",2500
"Overton city, Texas",2498
"Nixon city, Texas",2490
"Blue Mound city, Texas",2482
"Rancho Viejo town, Texas",2477
"Winters city, Texas",2474
"St. Hedwig town, Texas",2472
"Ranger city, Texas",2456
"Talty town, Texas",2450
"Junction city, Texas",2448
"Odem city, Texas",2420
"Daingerfield city, Texas",2413
"Shepherd city, Texas",2410
"Olmos Park city, Texas",2409
"Dalworthington Gardens city, Texas",2387
"Newton city, Texas",2387
"Anahuac city, Texas",2376
"Pottsboro town, Texas",2351
"Panhandle town, Texas",2350
"East Bernard city, Texas",2335
"Hudson Oaks city, Texas",2335
"Panorama Village city, Texas",2334
"Arcola city, Texas",2323
"Anson city, Texas",2310
"Idalou city, Texas",2310
"Malakoff city, Texas",2302
"Tool city, Texas",2291
"Salado village, Texas",2288
"Mason city, Texas",2238
"Poth town, Texas",2225
"Waskom city, Texas",2184
"Weimar city, Texas",2184
"De Leon city, Texas",2178
"Combine city, Texas",2177
"Shiner city, Texas",2161
"Whitney town, Texas",2139
"Wellington city, Texas",2129
"Huntington city, Texas",2126
"Kountze city, Texas",2113
"Olton city, Texas",2112
"Kirbyville city, Texas",2100
"Hale Center city, Texas",2099
"Jones Creek village, Texas",2096
"Memphis city, Texas",2089
"Yorktown city, Texas",2080
"Stratford city, Texas",2077
"Palmer town, Texas",2073
"Pinehurst city, Texas",2073
"Jonestown city, Texas",2071
"Ganado city, Texas",2070
"McCamey city, Texas",2063
"Johnson City city, Texas",2051
"Vinton village, Texas",2043
"Splendora city, Texas",2042
"Magnolia city, Texas",2029
"Blanco city, Texas",2027
"Kemah city, Texas",2024
"Hamlin city, Texas",2018
"Leonard city, Texas",2001
"Little River-Academy city, Texas",2000
"Troup city, Texas",2000
"Fritch city, Texas",1998
"Beverly Hills city, Texas",1986
"Albany city, Texas",1983
"Troy city, Texas",1979
"Cooper city, Texas",1968
"Goliad city, Texas",1968
"Jefferson city, Texas",1967
"Patton Village city, Texas",1954
"Ponder town, Texas",1949
"Elmendorf city, Texas",1945
"Three Rivers city, Texas",1943
"Gregory city, Texas",1942
"Italy town, Texas",1935
"Linden city, Texas",1934
"Van Horn town, Texas",1919
"Roman Forest town, Texas",1917
"Mart city, Texas",1914
"Sunray city, Texas",1906
"Liberty Hill city, Texas",1905
"West Tawakoni city, Texas",1895
"Buffalo city, Texas",1892
"San Augustine city, Texas",1886
"Meadowlakes city, Texas",1879
"Shamrock city, Texas",1870
"Ralls city, Texas",1862
"Goldthwaite city, Texas",1861
"Somerset city, Texas",1859
"Ingram city, Texas",1854
"Sour Lake city, Texas",1854
"Southside Place city, Texas",1854
"Haslet city, Texas",1844
"Quitman city, Texas",1824
"Stinnett city, Texas",1813
"Charlotte city, Texas",1812
"Morton city, Texas",1811
"Bovina city, Texas",1807
"Collinsville town, Texas",1791
"Clarendon city, Texas",1780
"Marfa city, Texas",1772
"Danbury city, Texas",1769
"Lorena city, Texas",1761
"Archer City city, Texas",1754
"Pelican Bay city, Texas",1750
"Rhome city, Texas",1747
"Woodcreek city, Texas",1742
"Brackettville city, Texas",1740
"Hughes Springs city, Texas",1737
"Lowry Crossing city, Texas",1737
"Bartonville town, Texas",1732
"Holliday city, Texas",1724
"Briarcliff village, Texas",1718
"Grandview city, Texas",1706
"La Grulla city, Texas",1700
"Sabinal city, Texas",1696
"Krugerville city, Texas",1695
"Eldorado city, Texas",1691
"Itasca city, Texas",1686
"Honey Grove city, Texas",1678
"Whitewright town, Texas",1678
"Lockney town, Texas",1669
"Crosbyton city, Texas",1657
"Josephine city, Texas",1644
"De Kalb city, Texas",1630
"Franklin city, Texas",1627
"Bayou Vista city, Texas",1624
"Plains town, Texas",1616
"Shoreacres city, Texas",1608
"Fulton town, Texas",1604
"Muenster city, Texas",1601
"Brookside Village city, Texas",1588
"Stockdale city, Texas",1583
"Corrigan town, Texas",1582
"Wheeler city, Texas",1573
"Bangs city, Texas",1567
"Caddo Mills city, Texas",1566
"Blossom city, Texas",1564
"Rollingwood city, Texas",1560
"Booker town, Texas",1557
"Natalia city, Texas",1548
"Bruceville-Eddy city, Texas",1546
"Jarrell city, Texas",1541
"Kerens city, Texas",1531
"Granger city, Texas",1517
"Lone Star city, Texas",1507
"Pleak village, Texas",1505
"Baird city, Texas",1504
"Seadrift city, Texas",1500
"Seven Points city, Texas",1497
"Runaway Bay city, Texas",1492
"Bells town, Texas",1488
"Edgewood town, Texas",1486
"Oak Leaf city, Texas",1486
"Quinlan city, Texas",1483
"Westlake town, Texas",1483
"Meridian city, Texas",1480
"Gunter city, Texas",1467
"Alvord town, Texas",1462
"Woodsboro town, Texas",1459
"Rotan city, Texas",1458
"Copper Canyon town, Texas",1457
"Queen City city, Texas",1453
"Wolfe City city, Texas",1442
"Bertram city, Texas",1441
